Dataset,Sensors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Accelerometer,ActivePixel,Alarm,AnalogImageProcessing,AngleSensitivePixel,Auxanometer,BackIlluminated,Catadioptric,Cmos,Colorimeter,Flow,GasDetector,GroundSpeedRadar,Heartbeat,HookGaugeEvaporimeter,Hyperspectral,Image,ImageFormat,Impact,Intelligent,Leaf,Microbolometer,Microphone,MillimeterWaveScanner,MotionDetector,Nano,Occupancy,OmnidirectionalCamera,PassiveInfrared,PhotoElectric,PiezoElectricAccelerometer,Position,Proximity,PushBroomScanner,QuartzThermometer,RangeImaging,SmartDust,Snotel,Grid,SoundLocator,StaringArray,StaringArray,Tactile,Thermocouple,TimeOfFlightCamera,UltraWideBandRadar,Video,VisualNetwork,WirelessNetwork,,,,,,,,,
2,Abs,Accelerometer,ActivePixel,AngleSensitivePixel,AnprWhereVehiclesAreTimedOverFixedDistance,AutomaticTransmissionSpeed,BlindSpotMonitor,BrakeFluidPressure,Capacitance,CapacitiveDisplacement,ChargeCoupledDevice,DisplacementReceiver,DopplerRadar,FreeFall,GroundSpeedRadar,HallEffect,Image,Microbolometer,Microphone,MotionDetector,Occupancy,Odometer,OmnidirectionalCamera,Parking,PassiveInfrared,PiezoElectric,PiezoElectricAccelerometer,Position,Radar,RadarGun,RangeImaging,Speedometers,StaringArray,Tachometer,TimeOfFlightCamera,TouchSwitch,UltraWideBandRadar,VehicleSpeed,VelocityReceiver,Video,WheelSpeed,,,,,,,,,,,,,,,,,
3,Current,Galvanometer,PhotoDiode,ProportionalCounter,StrainGauge,TestLight,VoltageDetector,WheatstoneBridge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Accelerometer,Actigraphy,Alarm,AnalogImageProcessing,AngleSensitivePixel,BackIlluminated,Calorimeter,Capacitance,CapacitiveSensing,Catadioptric,Cmos,Colorimeter,Electroscope,Gyroscope,Gyroscopic,HeatFlux,Image,ImageFormat,IncrementalEncoder,InfraredThermometer,LedAsLight,Light,Microphone,MillimeterWaveScanner,MotionDetector,Occupancy,OmnidirectionalCamera,PassiveInfrared,PiezoElectric,Position,Pyrometer,QuartzThermometer,RangeImaging,ResistanceThermometer,SiliconBandgapTemperature,StaringArray,TemperatureGauge,TemperatureGauge,Thermocouple,Thermometer,TimeOfFlightCamera,TouchSwitch,UltraWideBandRadar,Video,,,,,,,,,,,,,,
5,ActivePixel,AirFuelRatioMeter,Alarm,AnalogImageProcessing,Anemometer,AngleSensitivePixel,AnprWhereVehiclesAreTimedOverFixedDistance,BackIlluminated,BimetallicStrip,BlindSpotMonitor,Calorimeter,Catadioptric,Cmos,CurbFeeler,Current,ElectroOptical,Electroscope,FlameDetection,FlameDetector,Galvanometer,GardonGauge,GasDetector,GasMeter,HeatFlux,HeatFlux,Image,ImageFormat,InfraredThermometer,LedAsLight,Light,MillimeterWaveScanner,MotionDetector,Nano,NondispersiveInfrared,Occupancy,OmnidirectionalCamera,OmniviewTechnology,Optode,Oxygen,OzoneMonitor,Parking,PassiveInfrared,Proximity,Pyrgeometer,QuartzThermometer,RainGauge,RangeImaging,ResistanceThermometer,SiliconBandgapTemperature,SmokeDetector,StaringArray,TemperatureGauge,TestLight,Thermocouple,Thermometer,VoltageDetector,WheatstoneBridge,WirelessNetwork
6,Undefined,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,AirFlowMeter,Auxanometer,BackIlluminated,Barograph,Barometer,Biochip,Bio,BoostGauge,Calorimeter,CapacitanceProbe,FrequencyDomain,Humistor,Hydrometer,Hyperspectral,InfraredThermometer,Leaf,LedAsLight,Lysimeter,Nano,Pressure,PressureGauge,Psychrometer,Pyrometer,QuartzThermometer,ResistanceThermometer,SiliconBandgapTemperature,SoilMoisture,TemperatureGauge,Thermocouple,Thermometer,TimePressureGauge,UnattendedGround,WaterMeter,,,,,,,,,,,,,,,,,,,,,,,,,
8,Abs,Accelerometer,Afr,AirFlowMeter,AirFuelRatioMeter,AnprWhereVehiclesAreTimedOverFixedDistance,AutomaticTransmissionSpeed,CapacitiveDisplacement,ChargeCoupledDevice,DisplacementReceiver,DopplerRadar,FreeFall,FuelLevel,FuelPressure,GroundSpeedRadar,Gyroscopic,HallEffect,Impact,IncrementalEncoder,LaserSurfaceVelocimeter,LaserSurfaceVelocimetersForMovingSurfaces,Level,MagneticLevelGauge,Odometer,OilLevel,PiezoElectricAccelerometer,Position,Proximity,RadarGun,Radar,ShockDetector,Speedometers,Tachometer,Triangulation,Ultrasonic,UltraWideBandRadar,VehicleSpeed,VelocityReceiver,WheelSpeed,,,,,,,,,,,,,,,,,,,
9,Abs,Accelerometer,Afr,AirFlowMeter,AirFuelRatioMeter,AnprWhereVehiclesAreTimedOverFixedDistance,AutomaticTransmissionSpeed,BlindSpotMonitor,BoostGauge,BourdonGauge,CapacitiveDisplacement,ChargeCoupledDevice,CrankShaftPosition,CylinderHeadTemperatureGauge,EngineCrankcasePressure,FuelLevel,FuelPressure,Impact,Knock,LaserSurfaceVelocimeter,LaserSurfaceVelocimetersForMovingSurfaces,Level,MagneticLevelGauge,Map,MassFlow,MotionDetector,Nano,OilLevel,OilPressure,PassiveInfrared,PiezoElectricAccelerometer,Position,Pressure,PressureGauge,Proximity,ShockDetector,Tachometer,TirePressure,Ultrasonic,VariableReluctance,,,,,,,,,,,,,,,,,,
10,Accelerometer,Actigraphy,Bio,Biochip,Breathalyzer,DiffusionTensorImaging,FunctionalMagneticResonanceImaging,GroundSpeedRadar,Heartbeat,MagneticResonanceImaging,Nano,NanoTetherball,PiezoElectricAccelerometer,Location,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Actigraphy,Biochip,Bio,Cmos,FunctionalMagneticResonanceImaging,HallEffect,Heartbeat,Hyperspectral,MotionDetector,Nano,NanoTetherball,OmnidirectionalCamera,RangeImaging,Tactile,TimeOfFlightCamera,Video,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
