SubDomain,Precision_O,Recall_O,F1_score_O,Precision_KNN,Recall_KNN,F1_score_KNN,Precision_SVM,Recall_SVM,F1_score_SVM,Precision_RF,Recall_RF,F1_score_RF
Agriculture,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.55,1.00,0.71
HealthCare,0.55,1.00,0.71,0.55,1.00,0.71,0.67,1.00,0.80,1.00,1.00,1.00
IndependentLiving,1.00,0.17,0.29,0.50,0.17,0.25,0.75,0.50,0.60,0.50,0.17,0.25
Industrial Processes,1.00,1.00,1.00,1.00,0.83,0.91,1.00,0.83,0.91,1.00,0.83,0.91
Logistic,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.75,1.00,0.86
SecurityPublic,0.43,1.00,0.60,1.00,0.50,0.67,1.00,0.50,0.67,1.00,0.50,0.67
Smart Campus,0.00,0.00,0.00,1.00,0.83,0.91,1.00,0.83,0.91,1.00,0.67,0.80
Smart Grid,0.75,1.00,0.86,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
SmartHome,1.00,0.67,0.80,0.67,1.00,0.80,0.67,1.00,0.80,0.67,1.00,0.80
UrbanMobility,1.00,0.67,0.80,0.86,1.00,0.92,1.00,1.00,0.92,1.00,1.00,1.00