Dataset,subDominio,feature_a,feature_b,feature_c,feature_d,feature_e,feature_f,feature_g,feature_h,feature_i,feature_j
1,SecurityPublic,100.0,41.67,0.0,61.9,55.56,62.5,75.0,66.67,53.85,0.0
2,SecurityPublic,100.0,41.67,0.0,57.14,55.56,50.0,75.0,66.67,38.46,0.0
3,SecurityPublic,100.0,41.67,0.0,57.14,33.33,62.5,50.0,66.67,53.85,0.0
4,SecurityPublic,100.0,41.67,0.0,52.38,55.56,62.5,75.0,66.67,53.85,0.0
5,SecurityPublic,100.0,41.67,0.0,61.9,33.33,62.5,50.0,66.67,53.85,0.0
6,SecurityPublic,100.0,41.67,0.0,52.38,44.44,62.5,75.0,66.67,46.15,0.0
7,UrbanMobility,87.5,91.67,0.0,47.62,0.0,37.5,25.0,33.33,61.54,0.0
8,UrbanMobility,75.0,83.33,0.0,42.86,0.0,37.5,25.0,33.33,61.54,0.0
9,UrbanMobility,87.5,91.67,0.0,47.62,0.0,37.5,25.0,33.33,61.54,0.0
10,UrbanMobility,75.0,83.33,0.0,42.86,0.0,37.5,25.0,33.33,61.54,0.0
11,UrbanMobility,87.5,91.67,0.0,42.86,0.0,37.5,25.0,33.33,61.54,0.0
12,UrbanMobility,87.5,91.67,0.0,47.62,0.0,37.5,25.0,33.33,61.54,0.0
13,SmartGrid,12.5,25.0,85.71,0.0,0.0,37.5,25.0,16.67,23.08,0.0
14,SmartGrid,12.5,25.0,85.71,0.0,0.0,37.5,25.0,16.67,23.08,0.0
15,SmartGrid,12.5,25.0,85.71,0.0,0.0,37.5,25.0,16.67,23.08,0.0
16,SmartGrid,12.5,25.0,85.71,0.0,0.0,37.5,25.0,16.67,23.08,0.0
17,SmartGrid,12.5,25.0,85.71,0.0,0.0,37.5,25.0,16.67,23.08,0.0
18,SmartGrid,12.5,25.0,85.71,0.0,0.0,37.5,25.0,16.67,23.08,0.0
19,SmartHome,50.0,25.0,0.0,52.38,22.22,37.5,0.0,16.67,0.0,0.0
20,SmartHome,50.0,16.67,0.0,52.38,22.22,37.5,0.0,16.67,0.0,0.0
21,SmartHome,50.0,16.67,0.0,52.38,22.22,37.5,0.0,16.67,0.0,0.0
22,SmartHome,50.0,25.0,0.0,52.38,22.22,37.5,0.0,16.67,0.0,0.0
23,SmartHome,50.0,25.0,0.0,52.38,22.22,25.0,0.0,16.67,0.0,0.0
24,SmartHome,50.0,16.67,0.0,52.38,22.22,37.5,0.0,16.67,0.0,0.0
25,SmartCampus,87.5,75.0,85.71,71.43,55.56,50.0,75.0,66.67,61.54,0.0
26,SmartCampus,87.5,75.0,85.71,71.43,55.56,37.5,75.0,66.67,46.15,0.0
27,SmartCampus,87.5,41.67,85.71,71.43,55.56,12.5,75.0,66.67,23.08,0.0
28,SmartCampus,87.5,58.33,85.71,71.43,55.56,50.0,75.0,66.67,61.54,0.0
29,SmartCampus,87.5,58.33,85.71,71.43,55.56,50.0,75.0,66.67,61.54,0.0
30,SmartCampus,87.5,75.0,85.71,71.43,55.56,37.5,75.0,66.67,46.15,0.0
32,Agriculture,37.5,0.0,0.0,23.81,100.0,12.5,75.0,66.67,30.77,0.0
33,Agriculture,37.5,0.0,0.0,23.81,100.0,0.0,75.0,66.67,23.08,0.0
34,Agriculture,25.0,0.0,0.0,19.05,100.0,12.5,75.0,66.67,30.77,0.0
35,Agriculture,25.0,0.0,0.0,19.05,100.0,12.5,75.0,66.67,30.77,0.0
36,Agriculture,37.5,0.0,0.0,23.81,100.0,12.5,75.0,66.67,30.77,0.0
37,Agriculture,37.5,0.0,0.0,23.81,100.0,12.5,75.0,66.67,30.77,0.0
38,Logistic,37.5,41.67,0.0,14.29,11.11,87.5,25.0,16.67,76.92,0.0
39,Logistic,37.5,41.67,0.0,14.29,0.0,87.5,25.0,16.67,69.23,0.0
40,Logistic,37.5,33.33,0.0,14.29,0.0,87.5,25.0,16.67,69.23,0.0
41,Logistic,25.0,33.33,0.0,9.52,11.11,87.5,25.0,0.0,76.92,0.0
42,Logistic,37.5,33.33,0.0,14.29,0.0,87.5,25.0,16.67,69.23,0.0
43,Logistic,37.5,33.33,0.0,14.29,0.0,87.5,25.0,16.67,69.23,0.0
44,IndustrialProcesses,50.0,75.0,0.0,38.1,44.44,87.5,75.0,66.67,84.62,0.0
45,IndustrialProcesses,50.0,66.67,0.0,33.33,44.44,87.5,75.0,66.67,84.62,0.0
46,IndustrialProcesses,50.0,58.33,0.0,33.33,44.44,87.5,75.0,66.67,84.62,0.0
47,IndustrialProcesses,50.0,75.0,0.0,38.1,44.44,87.5,75.0,66.67,84.62,0.0
48,IndustrialProcesses,37.5,75.0,0.0,19.05,44.44,87.5,75.0,66.67,84.62,0.0
49,IndustrialProcesses,50.0,33.33,0.0,38.1,44.44,87.5,75.0,66.67,84.62,0.0
50,HealthCare,25.0,16.67,0.0,9.52,33.33,37.5,75.0,66.67,38.46,0.0
51,HealthCare,25.0,16.67,0.0,9.52,33.33,37.5,75.0,66.67,38.46,0.0
52,HealthCare,25.0,16.67,0.0,9.52,33.33,37.5,75.0,66.67,38.46,0.0
53,HealthCare,25.0,16.67,0.0,9.52,11.11,37.5,75.0,33.33,30.77,0.0
54,HealthCare,25.0,16.67,0.0,9.52,33.33,37.5,75.0,66.67,38.46,0.0
55,HealthCare,25.0,16.67,0.0,9.52,33.33,37.5,75.0,66.67,30.77,0.0
56,IndependentLiving,50.0,25.0,0.0,38.1,33.33,12.5,75.0,66.67,23.08,0.0
57,IndependentLiving,37.5,8.33,0.0,23.81,11.11,0.0,50.0,66.67,0.0,0.0
58,IndependentLiving,37.5,8.33,0.0,23.81,11.11,0.0,50.0,66.67,0.0,0.0
59,IndependentLiving,37.5,8.33,0.0,23.81,11.11,0.0,50.0,66.67,0.0,0.0
60,IndependentLiving,37.5,8.33,0.0,23.81,11.11,0.0,50.0,66.67,0.0,0.0
61,IndependentLiving,37.5,8.33,0.0,23.81,11.11,0.0,50.0,66.67,0.0,0.0
